artist_names,track_name,source,peak_rank,weeks_on_chart,streams
Suvarna Tiwari,"Dil Se Dil Tak (From ""Bawaal"")",T-Series,38,37,1319540
Chet Singh,Dil Tu Jaan Tu,Jhankar Music,14,55,1690817
Gurnazar,Dil Tu Jaan Tu,Jhankar Music,14,55,1690817
Amitabh Bhattacharya,"Dilbar Ki Aankhon Ka (From ""Thamma"") [Feat. Nora Fatehi]",T-Series,126,3,1884714
Jigar Saraiya,"Dilbar Ki Aankhon Ka (From ""Thamma"") [Feat. Nora Fatehi]",T-Series,126,3,1884714
Rashmeet Kaur,"Dilbar Ki Aankhon Ka (From ""Thamma"") [Feat. Nora Fatehi]",T-Series,126,3,1884714
Sachin-Jigar,"Dilbar Ki Aankhon Ka (From ""Thamma"") [Feat. Nora Fatehi]",T-Series,126,3,1884714
Jin,Don’t Say You Love Me,BIGHIT MUSIC,141,1,1487878
Meghdeep Bose,Dooron Dooron,Paresh Pahuja,166,5,2902083
Paresh Pahuja,Dooron Dooron,Paresh Pahuja,166,5,2902083
Shiv Tandan,Dooron Dooron,Paresh Pahuja,166,5,2902083
Abhijit Vaghani,"Duniyaa (From ""Luka Chuppi"")",T-Series,1,311,1445032
Akhil,"Duniyaa (From ""Luka Chuppi"")",T-Series,1,311,1445032
Dhvani Bhanushali,"Duniyaa (From ""Luka Chuppi"")",T-Series,1,311,1445032
Kunaal Vermaa,"Duniyaa (From ""Luka Chuppi"")",T-Series,1,311,1445032
Duha Shah,Ehsaas,Universal Music India Pvt Ltd.,160,18,4633772
Faheem Abdullah,Ehsaas,Universal Music India Pvt Ltd.,160,18,4633772
Hyder Dar,Ehsaas,Universal Music India Pvt Ltd.,160,18,4633772
Vaibhav Pani,Ehsaas,Universal Music India Pvt Ltd.,160,18,4633772
Javed Ali,Ek Din Teri Raahon,Tips Industries Ltd,185,3,1437672
Pritam,Ek Din Teri Raahon,Tips Industries Ltd,185,3,1437672
Masoom Sharma,Ek Khtola Jail Ke Bhitar,Ankit Baliyan,169,10,1990209
A.R. Rahman,Enna Sona,Sony Music Entertainment India Pvt. Ltd.,34,161,1476714
Arijit Singh,Enna Sona,Sony Music Entertainment India Pvt. Ltd.,34,161,1476714
Sabrina Carpenter,Espresso,Island Records,26,53,1604911
AP Dhillon,Excuses,RUN-UP RECORDS,1,205,1966488
Gurinder Gill,Excuses,RUN-UP RECORDS,1,205,1966488
Intense,Excuses,RUN-UP RECORDS,1,205,1966488
Aditya Rikhari,Faasle,CollabX Productions,123,37,1481984
Shubh,Fell For You,SHUBH,179,41,2655959
Bharath,Finding Her,EYP Creations,66,35,9124718
Kushagra,Finding Her,EYP Creations,66,35,9124718
Saaheal,Finding Her,EYP Creations,66,35,9124718
Deepak Blue,"Firestorm (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,179,10,2210927
Raja Kumari,"Firestorm (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,179,10,2210927
Silambarasan TR,"Firestorm (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,179,10,2210927
Thaman S,"Firestorm (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,179,10,2210927
Ikky,For A Reason,WM Canada,15,11,8405250
Karan Aujla,For A Reason,WM Canada,15,11,8405250
Diljit Dosanjh,G.O.A.T.,FAMOUS STUDIOS INC,1,58,1487779
THOUGHT,Gaadi 150,Big Wave Music,186,19,2726659
Vikram Sarkar,Gaadi 150,Big Wave Music,186,19,2726659
Ashu Twinkle,Gabbar Bhi Nachega,Masoom Sharma,163,4,1413503
Harry Lather,Gabbar Bhi Nachega,Masoom Sharma,163,4,1413503
Masoom Sharma,Gabbar Bhi Nachega,Masoom Sharma,163,4,1413503
