track_name,source,peak_rank,weeks_on_chart,streams
Jhol,Giraffe Music,95,21,9203336
Jhol - Acoustic,Maanu,132,29,3660815
"Jhoom Sharaabi (From ""De De Pyaar De 2"")",T-Series,197,1,1351654
Jo Tere Sang,Sony Music Entertainment India Pvt. Ltd.,179,27,2888079
Jo Tum Mere Ho,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),1,65,6734459
"Jugraafiya - From ""Super 30""",Zee Music Company,57,41,3508430
Jutti Meri (Live),Neha Bhasin,115,7,2555258
Kaali Activa - Pind De Gerhe,T-Series,194,2,1295708
"Kabhi Jo Baadal Barse (From ""Jackpot)",T-Series,196,5,1427445
Kabhi Kabhi Aditi,T-Series,58,152,1540496
Kabira,T-Series,31,321,2232115
Kahani Suno 2.0,Kaifi Khalil,1,129,1733015
"Kaho Na Kaho - From ""Murder""",Vishesh Films,116,6,2070764
"Kaise Hua (From ""Kabir Singh"")",T-Series,5,334,2660676
Kalank - Title Track,Zee Music Company,5,291,1813439
"Kanimaa (From ""Retro"")",T-Series,199,19,3007342
Kanmanipoove,Sony Music Entertainment India Pvt. Ltd.,158,5,1393571
"Kanmanipoove (From ""Thudarum"")",Sony Music Entertainment India Pvt. Ltd.,158,1,1370765
"Kannadi Poove (From ""Retro"")",T-Series,199,15,2368856
Kannodu - Live,Job Kurian Productions,200,3,1361334
Kannukulla,Think Music,190,1,1338579
Kashish,Sony Music India / Nine,48,7,4886256
"Kasturi (From ""Amar Prem Ki Prem Kahani"")",Times Music,65,30,1966575
"Katchi Sera - From ""Think Indie""",Think Music,6,48,1334052
"Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")",T-Series,57,44,1264659
Kesariya,Sony Music Entertainment India Pvt. Ltd.,1,172,1954914
Khairiyat,T-Series,1,272,1256738
Khamoshiyan,Sony Music Entertainment India Pvt. Ltd.,90,80,1423173
Khayaal,Sony Music Entertainment India Pvt. Ltd.,75,29,3385813
Kheech Meri Photo,Sony Music / EROS Music,189,1,1307799
Kho Gaye,Netflix Music,8,61,2030004
"Khoobsurat (From ""Stree 2"")",Saregama India Ltd,5,44,2324909
Khuda Jaane,YRF Music,37,161,2455531
Kiliye Kiliye - Afrobeat Mix,Saregama India Ltd,192,1,1325444
King Shit,SHUBH,5,55,1293497
Kinni Kinni,DILJIT DOSANJH,24,77,1776158
Kishore Kumar Speaks And O Mere Dil Ke Chain (Film - Mere Jeevan Saathi),Saregama India Ltd,195,4,1518967
"Kissik (From ""Pushpa 2 The Rule"") [HINDI]",T-Series,122,5,1522485
"Kissik (From ""Pushpa 2 The Rule"") [TELUGU]",T-Series,30,8,1686133
Knife Brows,FarArmy Productions,80,23,1681594
"Koi Naa (From ""Bhool Chuk Maaf"")",Sony Music Entertainment India Pvt. Ltd.,135,5,1788785
Kufar,Diljit Dosanjh,155,2,1727130
Kun Faya Kun,T-Series,60,153,1336123
"Kya Meri Yaad Aati Hai (From ""Sky Force"")",Saregama India Ltd,200,1,1291659
Kya Mujhe Pyar Hai,T-Series,42,101,1341984
La La La,Universal Music India Pvt Ltd.,191,11,2057352
Laagi Lagan Shankara,Hansraj Raghuwanshi,169,1,1352904
"Laal Pari (From ""Housefull 5"")",T-Series,101,26,3839780
Labon Ko,T-Series,85,6,1390323
Lalkara,DILJIT DOSANJH,22,75,1548859
Lemonade,DILJIT DOSANJH,26,132,1579479
Let Me Love You,DJ Snake Def Jam,90,215,1381077
Lock,Sidhu Moose Wala,58,3,2031736
Lofar,Sky High Music,106,34,2678643
Lor Lor,EYP Creations,148,2,1441786
Love Dose,T-Series,32,71,1797206
MAUNA LOA,Mass Appeal,98,4,1747081
MF Gabhru!,WM Canada,73,14,3646292
MVP,Shubh,24,24,1404255
Maahi,Sony Music Entertainment India Pvt. Ltd.,157,25,2308195
Maan Meri Jaan,Warner Music India,1,122,1626216
Maand,Bayaan,189,10,5418761
"Maaye (From ""Sky Force"")",Saregama India Ltd,161,2,1423235
Mahiye Jinna Sohna,Warner Music India,2,83,1317706
Main Hi Kyon,T-Series,196,2,1222968
Main Rang Sharbaton Ka,Tips Industries Ltd,73,64,1589908
Maiyya,T-Series,49,43,2911212
Maiyya Mainu,Zee Music Company,5,149,2205344
Malang Sajna,T-Series,4,132,1908992
Malwa Flow,Universal Music India Pvt Ltd.,156,1,1394301
Manasilaayo,Sony Music Entertainment India Pvt. Ltd.,7,24,1881485
"Maniac - Bonus Track [From ""Glory""]",T-Series,61,9,3137198
Manjha,Desi Music Factory,16,144,1666457
Mann Mera,Sony Music / EROS Music,26,238,4898040
Mann Mera - Original Version,Sony Music / EROS Music,96,19,2924769
Mard,Masoom Sharma,182,11,1873541
Maruti,FarArmy Productions,181,7,1504926
"Mast Magan (From ""2 States"")",T-Series,45,236,2397561
"Mast Magan (From ""2 States)",T-Series,43,246,3179614
Maula Mere Maula,Saregama,135,55,2107915
Mehrama,Sony Music Entertainment India Pvt. Ltd.,10,193,1231399
"Mera Hua (From ""Ek Deewane Ki Deewaniyat"") (Original Motion Picture Soundtrack)",PlayDMF,166,3,2720600
Mera Mann,Speed Records,12,16,2944087
Mere Bina,Sony Music Entertainment India Pvt. Ltd.,147,10,1459492
"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",T-Series,11,248,1306178
Mere Mehboob,T-Series,29,23,1964897
Mere Mittar,Komal Chaudhary,77,11,2164308
"Mere Sohneya (From ""Kabir Singh"")",T-Series,4,290,2880130
Millionaire,T-Series,3,62,4270616
"Milne Hai Mujhse Aayi (From ""Aashiqui 2"")",T-Series,198,4,1445585
Minnalvala,Sony Music Entertainment India Pvt. Ltd.,17,20,3664913
"Minnalvala (From ""Narivetta"")",Sony Music Entertainment India Pvt. Ltd.,75,2,2590205
Mitwa,Sony Music Entertainment India Pvt. Ltd.,119,64,2175658
Mobsta,Sun Pictures,168,3,1947257
Mogambo,Brown Town Music,77,3,2096094
Monica,Sun Pictures,15,17,4891919
"Monica (From ""Coolie"") (Tamil)",Sun Pictures,79,3,4107187
"Monica (From ""Coolie"") (Telugu)",Sun Pictures,128,1,1600443
Morni,Saregama India Ltd,33,10,2064946
Muththa Mazhai,Saregama India Ltd,103,2,1721893
Muththa Mazhai (Reprise),Saregama India Ltd,83,7,2320589
NaaNaa Hyraanaa,Saregama India Ltd,143,4,1410971
"NaaNaa Hyraanaa (From ""Game Changer"") (Telugu)",Saregama India Ltd,143,3,1234908
Naam Chale,All Good Music Pvt Ltd,65,16,5778764
Naam Tera,White Hill Dhaakad,158,5,1515857
Nahin Milta,rearts records,147,11,1941542
"Nain Matakka - From ""Baby John""",Zee Music Company,100,6,1649162
"Naina (From ""Crew"")",Tips Music Limited,3,69,2689817
Nallaru Po,Think Music,188,1,1340310
Namo Namo,Zee Music Company,19,151,1360307
"Nasha (From ""Raid 2"")",T-Series,117,3,1626964
Nazm Nazm,Zee Music Company,106,67,1887217
Nazra Ke Teer,All Good Music Pvt Ltd,192,14,1828609
Neal,Sidhu Moose Wala,179,1,1340489
